userid,test_group,first_visit_at,order_completed_at,time_to_order,region,marketing_group,product_review,successful_orders,average_receipt_rub,read_pushes
2f75f9916e4148eab6a183663239b90c,control,2022-03-20,2022-03-20,9,Saint Petersburg,email_maketing,no_reviews,13,13485,13
a452782c69d34b00ab516a050e5de663,control,2022-03-10,2022-03-12,69,region,target,photo,1,60222,27
0af12ca872a845508a5914b7c2aa7520,control,2022-03-19,2022-03-20,24,Novosibirsk,social_media,text,4,36500,22
982453d782a54f41a26b885d04ebc76c,control,2022-03-15,2022-03-17,69,Omsk,target,video,3,21762,5
c499a1ab2df64fe8b48da3f76683805a,control,2022-03-17,2022-03-17,5,Novosibirsk,email_maketing,video_and_photo,13,26619,18
895bc4ec9a074662a4c2afd01f7ac397,control,2022-03-02,2022-03-02,8,Chelyabinsk,target,no_reviews,1,21604,15
dbf2b170c48744eaabfda1139b64185e,control,2022-03-04,2022-03-06,57,Samara,social_media,text,19,19093,18
90ad6579b4b2415d88e19edb996de97f,control,2022-03-02,2022-03-05,72,Moscow,email_maketing,no_reviews,8,17096,10
035fdc5cdda64d408737271f42c6e664,control,2022-03-19,2022-03-19,7,Omsk,target,text,7,63921,0
d2c540a76c0141babdc72862d597b4e8,control,2022-03-17,2022-03-19,71,Omsk,email_maketing,video_and_photo,2,8549,12
9288b406bccb4cadba281f5cb87d1276,control,2022-03-10,2022-03-12,61,Novosibirsk,social_media,text,16,73491,28
121be10d7a6c4ac0b49787e38ba8a33d,control,2022-03-03,2022-03-06,76,Samara,social_media,no_reviews,4,84830,27
71eb61c90d4d40f49d8562d3f3399c9c,control,2022-03-08,2022-03-08,19,region,email_maketing,text,14,30647,29
8ae61091c49e42b7ab1d7efb913f0b30,control,2022-03-20,2022-03-22,63,Omsk,target,text,8,42809,21
6ab30d3a15104be9b92f66fee7cd5986,control,2022-03-04,2022-03-05,31,Saint Petersburg,email_maketing,no_reviews,4,59136,29
3fe495104a1042c0ba3128d485b8c37f,control,2022-03-20,2022-03-20,10,Saint Petersburg,email_maketing,text,8,24298,14
de7c1cd6e438469a9dc24120f6a2d834,control,2022-03-20,2022-03-22,66,Omsk,social_media,photo,19,30441,25
9cc93a87860d4b838abae13fac7e57e9,control,2022-03-15,2022-03-16,35,Yekaterinburg,email_maketing,text,10,14571,1
19b217eca85244bbbd01d2057f876885,control,2022-03-12,2022-03-13,43,Omsk,social_media,video,9,13119,7
a850197cf2434f7caf10ae4dbcec1246,control,2022-03-11,2022-03-14,72,Novosibirsk,target,text,7,78644,28
08905cc91a25462e90d1e50a92d653e9,control,2022-03-12,2022-03-14,57,Moscow,target,video,2,36402,12
1ceb198f4e22447b8d7dc042a81df10d,control,2022-03-01,2022-03-02,36,Moscow,email_maketing,no_reviews,10,41828,20
898e24ddb92b4d219ee23468609b8b3b,control,2022-03-09,2022-03-09,17,region,target,text,8,84662,17
531bd131047b4053a6ccc5d87302c121,control,2022-03-07,2022-03-07,4,Samara,target,no_reviews,12,25633,17
f0dca210e3414d26812a1cd52926ffb0,control,2022-03-12,2022-03-12,12,Novosibirsk,email_maketing,no_reviews,4,42027,3
3977b9e3f20044d396d6a1b0c3dbc8c1,control,2022-03-15,2022-03-16,46,Novosibirsk,social_media,no_reviews,1,43291,26
e63d8b45f1c64942b64d8208152989b2,control,2022-03-08,2022-03-11,79,Samara,email_maketing,video,11,81564,23
b7815bbe0a1540858e95e02d62758dba,control,2022-03-06,2022-03-08,59,region,social_media,video_and_photo,13,35045,21
30bbb0ee24df4b70be8acfa76c6934e8,control,2022-03-08,2022-03-11,74,Chelyabinsk,social_media,text,5,13108,26
bfcad64a55ba4f8b8b3f1a826f0278e3,control,2022-03-06,2022-03-06,13,Novosibirsk,email_maketing,video_and_photo,5,5501,31
ad0a7c3566aa4acaaf52d566b6263be1,control,2022-03-20,2022-03-22,71,region,target,video,12,6626,3
c074484f1cfb476b8bc4aae1239c53a9,control,2022-03-05,2022-03-07,51,Moscow,email_maketing,photo,3,17537,11
71d66addfd944865abeec74280e4038b,control,2022-03-01,2022-03-02,32,Saint Petersburg,target,video_and_photo,17,39146,3
